Name, Company, Twitter Handle

Tucker Carlson, Fox News, @TuckerCarlson
Sean Hannity, Fox News, @seanhannity
Chris Wallace, Fox News, @FoxNewsSunday
Mark Levin, Fox News, @marklevinshow
Neil Cavuto, Fox News, @TeamCavuto
Dana Perino, Fox News, @DanaPerino
Bret Baier, Fox News, @BretBaier
Laura Ingraham, Fox News, @IngrahamAngle
Jesse Waters, Fox News,
Jeanine Pirro, Fox News, @JudgeJeanine
Martha MacCallum, Fox News, @marthamaccallum
Maria Bartiromo, Fox Business, @MariaBartiromo
Lou Dobbs, Fox Business, @LouDobbs
Charles Payne, Fox Business, @cvpayne
Jim Cramer, CNBC, @jimcramer
Carl Quintanilla, CNBC, @carlquintanilla
David Faber, CNBC, @davidfaber
Sara Eisen, CNBC, @SaraEisen
Chuck Todd, MSNBC, @chucktodd
Chris Hayes, MSNBC, @chrislhayes
Rachel Maddow, MSNBC, @maddow
Brian Williams, MSNBC, @BWilliams
Joe Scarborough, MSNBC, @JoeNBC
Wolf Blitzer, CNN, @wolfblitzer
Jake Tapper, CNN, @jaketapper
Brooke Baldwin, CNN, @BrookeBCNN
Erin Burnett, CNN, @ErinBurnett
Anderson Cooper, CNN, @andersoncooper
Chris Cuomo, CNN, @ChrisCuomo
Don Lemon, CNN, @donlemon
John Berman, CNN, @JohnBerman




